id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392172,48.788792
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,54,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392172,48.788792
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392172,48.788792
2024-519447,2024-02-21,000001,Vente,198300,4,,RUE EUGENE VARLIN,3185,94800,94076,Villejuif,94,,,940760000Z0067,,,39,37.46,64,,,,,,,,2,3,Dépendance,,0,,,,,,2.362772,48.794438
2024-519447,2024-02-21,000001,Vente,198300,4,,RUE EUGENE VARLIN,3185,94800,94076,Villejuif,94,,,940760000Z0067,,,39,37.46,64,,,,,,,,2,2,Appartement,32,2,,,,,,2.362772,48.794438
2024-519448,2024-01-30,000001,Vente,200000,6,,ALL DES CHAMPS FLEURIS,1451,94400,94081,Vitry-sur-Seine,94,,,94081000AL0104,,,291,51.59,311,,,,,,,,2,3,Dépendance,,0,,,,,,2.379288,48.79919
2024-519448,2024-01-30,000001,Vente,200000,99,,BD STALINGRAD,8580,94400,94081,Vitry-sur-Seine,94,,,94081000AL0104,,,803,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.379288,48.79919
2024-519448,2024-01-30,000001,Vente,200000,6,,ALL DES CHAMPS FLEURIS,1451,94400,94081,Vitry-sur-Seine,94,,,94081000AL0104,,,291,51.59,311,,,,,,,,2,2,Appartement,50,2,,,,,,2.379288,48.79919
2024-519449,2024-01-25,000001,Vente,180000,68,,AV CARNOT,1415,94230,94016,Cachan,94,,,940160000A0163,,,4,32.67,,,,,,,,,1,3,Dépendance,,0,,,,,,2.324276,48.800034
2024-519449,2024-01-25,000001,Vente,180000,68,,AV CARNOT,1415,94230,94016,Cachan,94,,,940160000A0163,,,189,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.324276,48.800034
2024-519449,2024-01-25,000001,Vente,180000,68,,AV CARNOT,1415,94230,94016,Cachan,94,,,940160000A0163,,,84,,,,,,,,,,1,2,Appartement,42,2,,,,,,2.324276,48.800034
2024-519449,2024-01-25,000001,Vente,180000,68,,AV CARNOT,1415,94230,94016,Cachan,94,,,940160000A0163,,,4,32.67,,,,,,,,,1,2,Appartement,33,1,,,,,,2.324276,48.800034
2024-519449,2024-01-25,000001,Vente,180000,68,,AV CARNOT,1415,94230,94016,Cachan,94,,,940160000A0163,,,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.324276,48.800034
2024-519450,2024-01-29,000001,Vente,15000,9001,,ALL CHARLES CHAPLIN,0850,94260,94034,Fresnes,94,,,940340000J0126,,,15194,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.324667,48.756203
2024-519451,2024-02-12,000001,Vente,25000,36,,RUE DES MOCARDS,6230,94120,94033,Fontenay-sous-Bois,94,,,94033000AX0057,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.464818,48.849697
2024-519452,2024-02-01,000001,Vente,330000,20,,RUE DES VIOLETTES,0840,94440,94075,Villecresnes,94,,,94075000AI0057,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,393,2.539304,48.723531
2024-519453,2024-02-19,000001,Vente en l'état futur d'achèvement,358129,57,,RUE DE NOISY,0947,94350,94079,Villiers-sur-Marne,94,,,94079000AB0136,,,95,,,,,,,,,,1,,,,,,,,,,2.544636,48.832606
2024-519453,2024-02-19,000001,Vente en l'état futur d'achèvement,358129,57,,RUE DE NOISY,0947,94350,94079,Villiers-sur-Marne,94,,,94079000AB0136,,,65,,,,,,,,,,1,,,,,,,,,,2.544636,48.832606
2024-519453,2024-02-19,000001,Vente en l'état futur d'achèvement,358129,57,,RUE DE NOISY,0947,94350,94079,Villiers-sur-Marne,94,,,94079000AB0136,,,125,,,,,,,,,,1,,,,,,,,,,2.544636,48.832606
2024-519454,2024-02-19,000001,Vente,353658,10,,RUE DE COULMIERS,1480,94130,94052,Nogent-sur-Marne,94,,,940520000F0085,,,22,,9,56.73,,,,,,,2,3,Dépendance,,0,,,,,,2.492432,48.839136
2024-519454,2024-02-19,000001,Vente,353658,10,,RUE DE COULMIERS,1480,94130,94052,Nogent-sur-Marne,94,,,940520000F0085,,,22,,9,56.73,,,,,,,2,2,Appartement,65,2,,,,,,2.492432,48.839136
